conv_score	n_human_msgs	msg_count	conversation_id	created_date	title	best_human_msg_snippet
28.8	8	9	7bde57c1-12db-4993-9695-74c1a7a496cf	2026-03-30	Implement `ShmMesh` for shared memory IPC between processes on the same host using `memfd_create` or `mmap`.	<system_reminder><![CDATA[You appear to be stuck in a repetitive loop, having made 3 similar calls. This indicates you are not making progress. Please: 1. Reconsider your approach to solving this prob
28.8	8	9	8a9b7568-7768-4a1a-b096-4b16b7a8190e	2026-03-30	Fix phenotype-state-machine crate compilation errors. The crate is missing implementations for: 1) `to_ordinal()` method	<system_reminder><![CDATA[You appear to be stuck in a repetitive loop, having made 3 similar calls. This indicates you are not making progress. Please: 1. Reconsider your approach to solving this prob
28.8	14	16	3db5826d-6e49-4a21-a86b-bbe3ee9447e3	2026-06-12	Fix `phenotype-voxel` CI failure. Likely root cause: cargo-deny licenses policy, cargo test, or coverage gate. Repositor	<system_reminder><![CDATA[You appear to be stuck in a repetitive loop, having made 3 similar calls. This indicates you are not making progress. Please: 1. Reconsider your approach to solving this prob
28.8	12	15	31bc6d73-e4ed-4441-ae5f-b9eba84e917a	2026-06-12	In /Users/kooshapari/CodeProjects/Phenotype/repos/ResilienceKit, add `From<std::time::Elapsed>` impl for `phenotype-resi	<system_reminder><![CDATA[You appear to be stuck in a repetitive loop, having made 3 similar calls. This indicates you are not making progress. Please: 1. Reconsider your approach to solving this prob
28.8	7	9	e7d34e96-dc97-49c6-8bf4-197a1151d701	2026-06-13	V3 DAG L4 task #73: Wrap hand-rolled CLI (PlayCua). Create branch `chore/l4-73-playcua-cli-wrap-2026-06-11` off `PlayCua	<system_reminder><![CDATA[You appear to be stuck in a repetitive loop, having made 3 similar calls. This indicates you are not making progress. Please: 1. Reconsider your approach to solving this prob
28.8	6	9	559cb79b-4aed-4c2f-ae20-dda4ce297016	2026-06-14	You are a research agent. Find SOTA (state-of-the-art) packages, tools, and repos that can be forked, wrapped, or used t	<system_reminder><![CDATA[You appear to be stuck in a repetitive loop, having made 3 similar calls. This indicates you are not making progress. Please: 1. Reconsider your approach to solving this prob
28.8	6	9	168efe1c-0bbe-4d33-98a9-24928d8fd206	2026-06-14	Role: Merge/review subagent. Context: You are working in the eyetracker repo at /Users/kooshapari/CodeProjects/Phenotype	<system_reminder><![CDATA[You appear to be stuck in a repetitive loop, having made 3 similar calls. This indicates you are not making progress. Please: 1. Reconsider your approach to solving this prob
28.8	14	15	36a51251-a205-495d-866d-d8c9111361d7	2026-06-14	Read the existing REPO_DUP_AUDIT plan at /Users/kooshapari/CodeProjects/Phenotype/repos/plans/2026-06-12-REPO_DUP_AUDIT-	<system_reminder><![CDATA[You appear to be stuck in a repetitive loop, having made 3 similar calls. This indicates you are not making progress. Please: 1. Reconsider your approach to solving this prob
28.8	17	18	896de705-c324-4ddd-b16f-475c774f40ed	2026-06-15	W4.2: Read /Users/kooshapari/CodeProjects/Phenotype/repos/Tokn directory. Do NOT commit/push. Same audit format as W4.1 	<system_reminder><![CDATA[You appear to be stuck in a repetitive loop, having made 3 similar calls. This indicates you are not making progress. Please: 1. Reconsider your approach to solving this prob
28.8	5	9	6f68ce5c-9da8-4f16-8302-9e8f9c02bafa	2026-06-18	COMPLETION TASK for L5-110 in existing worktree at /Users/kooshapari/CodeProjects/Phenotype/repos/Civis-wt-l5-110.  **Br	<system_reminder><![CDATA[You appear to be stuck in a repetitive loop, having made 3 similar calls. This indicates you are not making progress. Please: 1. Reconsider your approach to solving this prob
28.79	9	12	c11f0675-1246-417d-8853-34131aa9bc6a	2026-05-01	Quick verification - run tests on all 8 libs in libs/: 1. `cd libs/pheno_adapters && python -m pytest tests/ -q` 2. `cd 	<system_reminder><![CDATA[You appear to be stuck in a repetitive loop, having made 3 similar calls. This indicates you are not making progress. Please: 1. Reconsider your approach to solving this prob
28.76	4	485	b6be6fcb-0151-4020-83d7-d0d17e17fa99	2026-03-29	Cross-Project Code Duplication Analysis And Consolidation	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
28.5	11	14	6ec00672-a8c3-4949-a3a1-d3dace259049	2026-05-01	Test Query Title Generation	<feedback>example pattern in CC< ignore the errors w\ my omnirouter tating… (13s · ↓ 154 tokens · thought for 2s) ✻ Brewed for 3m 44s ❯ resuem ❯ /loop 10m Continue w\ all rest or audit to find more wo
28.28	6	8	bd9f49f9-b635-44da-968b-9f5b11dcca1a	2026-06-09	Multi-Agent DAG Orchestration with Deduplication and Distributed Workload Management	need a strong multi-agent-multi-project DAG file in repos, I assume this will lead to sqlite but dont be locked to it otherwise. Agents will need concurrency blocking na dsome form of fuzz duplication
28.27	3	4	249c2f00-594c-4afc-8c9c-dc3850decdf5	2026-06-18	You are working in the `repos/` meta-monorepo at `/Users/kooshapari/CodeProjects/Phenotype/repos/`. Do NOT touch any sub	You are working in the `repos/` meta-monorepo at `/Users/kooshapari/CodeProjects/Phenotype/repos/`. Do NOT touch any sub-repo. GOAL: Dedupe the `focus-events` crate (R4 from the 6-repo audit). There i
28.22	4	6	7b11aecb-1745-4a98-8f1d-d874f0dbb9be	2026-03-28	I'll work through all remaining items systematically. Let me tackle each one.  Task Plan: • [ADD] Add shell completion i	ri/phenotype-go-config@v0.0.0 (replaced by ../../../template-commons/phenotype-go-config): reading ../../../template-commons/phenotype-go-config/go.mod: open /Users/kooshapari/CodeProjects/template-co
27.71	3	6	ff2a0858-edc8-4c79-804d-515744170a27	2026-03-29	Worklogs Documentation Audit and Research Update	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
27.35	3	4	038f07d0-4a4d-4022-8b74-f47f32bbd7b7	2026-06-20	**Manager task — L7-007 archived-repo marker pass**	<system_reminder>You have pending todo items that must be completed before finishing the task: - [IN_PROGRESS] Ask 1-2 targeted clarifying questions about scope and marker format - [PENDING] Propose 2
26.98	17	1871	7a2762bb-fc38-45e7-952e-296b6a29c75a	2026-06-08	Repository Consolidation and Modernization Roadmap	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
26.74	4	5	6f03e5ea-d153-4ab4-beb1-0770e62eeab3	2026-06-06	Organize Worktrees And Reclaim Disk Space	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
26.58	5	864	56eda7e6-3482-4974-82b6-86bb82d59c54	2026-06-10	Multi Repo Audit And Dag Orchestration	call agents to review in bg and finish the merge. codex 5.3 codex spark low exec agents, call them in a async way so you can check back later and they can work full turn to finish those items. otherwi
26.5	7	10	a89e46a1-cf3c-40f9-8dc1-1a5d46bd9db9	2026-04-03	Rust Supply Chain Agent Readiness Audit	y unavailable (os error 35) hooks and extended .github/dependabot.yml FORGE repos fix/rust-supply-chain-agent-readiness ❯ :ffff/ffff/ffff11;rgb:2828/2c2c/343410;rgb:ffff/ffff/ffff11;rgb:2828/2c2c/3434
26.47	7	12	c00bdee2-96de-46ed-b0d3-6879ef86ad77	2026-03-29	Comprehensive Repository Merge Audit	please also audit local unmerged states, e.g. wtree\branch\stash\other, and hte same for remote across all repos. + architectural pattern compliance + optimal hex polyglot\polyrepo and all Xdds. and l
26.41	3	551	5393ac5f-4c67-454a-898e-78065d366003	2026-03-29	Let me continue fixing the phench tests. I'll check the current state and add the missing functions. <minimax:tool_call>	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
26.0	5	6	59eaf141-c489-455d-9db0-f0f6eb86543a	2026-03-31	**Multi-Agent Code Review Management**	<feedback>Your focus instead is thegent, also check for optimal dcecompostion and productizaiton, also refer to composio's desktop app and its swappable system (or check my stars a recently starred pr
25.66	3	175	28fe9b00-a834-4898-9153-5be4b38354a9	2026-03-29	**Dev Server Brace-Expansion and PostCSS Fix**	Last login: Sun Mar 29 00:33:21 on ttys013  ~/C/P/repos  main  $ 3󰃭 2⇕71/976  ~/C/P/repos  main  $ 3󰃭 2⇕71/976  v25.7.0  v3.13.12  00:45❯ forge _____ | ___|__ _ __ __ _ ___ | |_ / _ \
25.58	2	582	1836cfd4-5e66-45d5-8ef3-897afa6d61b3	2026-06-14	Massive Multi-Repo DAG Orchestration & Consolidation	call agents to review in bg and finish the merge. codex 5.3 codex spark low exec agents, call them in a async way so you can check back later and they can work full turn to finish those items. otherwi
25.51	3	98	952a5664-ef08-45c7-be0b-67999e1c6453	2026-04-02	Comprehensive Documentation Update for Phenotype Stack	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
25.51	2	2	4668e1e4-db7d-4622-b6cf-aac4c33b0e6c	2026-06-08	Use the sage tool to perform focused web searches. I need a definitive 2026 best-practices snapshot of the Block→AAIF "G	Use the sage tool to perform focused web searches. I need a definitive 2026 best-practices snapshot of the Block→AAIF "Goose" coding agent CLI (https://github.com/aaif-goose/goose, https://github.com/
25.5	5	5	0ccfdaa0-8894-47df-ab8c-c5f4496aa15d	2026-05-02	**Active Forge Session Review**	Review all active forge sessions (phenotype/repos rooted, and one rooted at the cursor-reset proejc tin phenotype folder, all project target sare still focused on the phenotype/repos project showver, 
25.45	10	14	e80ef003-9b82-4efa-b5a8-aba3aceb7096	2026-06-10	Work in /Users/kooshapari/CodeProjects/Phenotype/repos/PhenoPlugins. STRICT TASK — add 1 test for the SQLite plugin.  1.	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
25.44	5	5	1ea1fca4-04cc-483f-9dca-846fb08da8c2	2026-06-12	Perform a deep analysis of /Users/kooshapari/CodeProjects/Phenotype/repos/eyetracker to identify: project structure, mai	<system_reminder><![CDATA[You appear to be stuck in a repetitive loop, having made 3 similar calls. This indicates you are not making progress. Please: 1. Reconsider your approach to solving this prob
25.36	2	10	ec2e5028-d34e-4420-aad5-a03a6dd7195a	2026-03-27	**Generated Titles:**  1. `Restore thegent_core.infra Compatibility Shims` 2. `Add thegent_core.infra Subprocess Cache a	bprocess_optimized(["go", "env", name], check=False, capture_output=True, text=True) packages/thegent-cli/src/thegent_cli/cli/commands/model_cmds_list.py:166: run_subprocess_optimized = _get_run_subpr
25.36	2	27	3897a54e-cda4-4ab6-8ba4-05ca19292e9b	2026-04-02	Automated GitHub Pages Deployment	Last login: Thu Apr 2 07:53:47 on ttys021  ~/C/P/repos  main  $󰮉 2 10󰃭 333✓  v1.96.0-nightly  07:54❯ forge _____ | ___|__ _ __ __ _ ___ | |_ / _ \| '__/ _` |/ _ \ | _| (_) | | | (_| | __/ |_| 
25.33	6	9	85406c5f-71a4-49e8-ba9e-9305d99d6888	2026-03-30	Repository Privacy Status: Yes	phenotype-gauge Private Phenotype phenotype-gauge library Rust Other Updated 18 hours ago phenotype-nexus Private Phenotype phenotype-nexus library Rust Other Updated 18 hours ago civ Private Shell MI
25.21	3	62	c3d7b744-696f-47f9-84fa-b22846c0d547	2026-04-02	Multi-Repo Documentation Expansion Plan	at achieve 99% bare metal perf, hyper low rsrc util, can do optimal hardwareFORGE repos chore/gitignore-and-test-infra ❯ how about typical alternatives in the vfio space and equivalent for other hosts
25.2	8	8	3bcb2d41-34f8-45f6-8a5d-c84f9c02bfa6	2026-06-12	Implement WP sequence=12: "Test: backend render spec builder" in /Users/kooshapari/CodeProjects/Phenotype/repos/melosviz	Implement WP sequence=12: "Test: backend render spec builder" in /Users/kooshapari/CodeProjects/Phenotype/repos/melosviz/backend/tests/test_spec_builder.py. Acceptance: 20+ cases; round-trip and edge 
25.06	2	8	74853b4c-4f27-4424-ab7b-acd9a2574c0d	2026-06-05	Claude Code Upgrade TypeError Bug	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
24.98	11	11	f06437a3-2796-47d2-b581-04357878fdb2	2026-04-02	Automated Documentation and QA Tooling Deployment	Last login: Thu Apr 2 07:50:53 on ttys009  ~/C/P/repos  main  $󰮉 2 9󰃭 333✓  v1.96.0-nightly  07:51❯ forgeforge _____ | ___|__ _ __ __ _ ___ | |_ / _ \| '__/ _` |/ _ \ | _| (_) | | | (_| | __/ 
24.93	3	4	d591746f-8d4f-4c34-ac04-377d2622e901	2026-05-28	You are implementing the 10 frontend video export WBS items from `/Users/kooshapari/CodeProjects/Phenotype/repos/melosvi	You are implementing the 10 frontend video export WBS items from `/Users/kooshapari/CodeProjects/Phenotype/repos/melosviz/plans/wbs/frontend-video-export-wbs.md`. Read that file, then systematically i
